Latitude,Longitude,Sample_ID,Sample_Material_Eng,Sample_Material,Measuring_Institution..Eng.,Measuring_Institution,Pretreatment_Institution_Eng,Pretreatment_Institution_.only.if.different.from.AMS.Lab.,Measurement_Date,R_Combine_Note,Mismatch_Flag,BP,error,Period_New,Site_Code_Eng,Site_Code,Site_OG_Eng,Site_OG,Feature,FeatureType_Eng,Feature_Type,Excavating_Institution_Eng,Excavating_Institution,Year,Sub_Region,Total_Houses,median
37.814,127.51,가평 달전리 22호 유구-21,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),,,2360,30,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,22호 - 바닥 확인 후 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2374
37.814,127.51,가평 달전리 25호 유구,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),,,2430,40,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,25호 - 북벽 유구 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2478
37.814,127.51,가평 달전리 8호 유구-10,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2494,31,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,8호 - 바닥 확인 후 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2585
37.814,127.51,가평 달전리 1호,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2500,29,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,1호 - 바닥 확인 후 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2585
37.814,127.51,가평 달전리 35호 유구 곡물-1,Grain,곡물,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2528,21,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,35호,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2617
37.814,127.51,가평 달전리 9호 유구-3,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),,,2530,80,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,9호 - 북벽 구덩이 중 중간 구덩이 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2586
37.814,127.51,가평 달전리 18호,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2556,32,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,18호 - 바닥확인 후 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2702
37.814,127.51,가평 달전리 19호 유구-12,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2574,36,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,19호 - 바닥 확인 후 수습,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2723
37.814,127.51,가평 달전리 15호,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),R_Combined,,2628,39,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,15호,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2752
37.814,127.51,가평 달전리 37호 유구-2,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2007(보고서),Selected based on archaeological context,,2670,40,Bronze,Gapyeong Daljeon-ri,가평 달전리,"The DalJeon-li Site, Gapyeong",가평 달전리 유적,37호 - 바닥,Dwelling,주거지,Hallym University Museum,한림대학교 박물관,2007,North Han River Basin,31,2779
