Latitude,Longitude,Sample_ID,Sample_Material_Eng,Sample_Material,Measuring_Institution (Eng),Measuring_Institution,Pretreatment_Institution_Eng,Pretreatment_Institution_.only.if.different.from.AMS.Lab.,Measurement_Date,BP,error,Period_New,Site_Code_Eng,Site_Code,Site_OG_Eng,Site_OG,Feature,FeatureType_Eng,Feature_Type,Excavating_Institution_Eng,Excavating_Institution,Year,면적.m2.,전체주거지수.추정주거지.수,전체.면적.강원은.없음.,추정유무,융기문,즐문,이중구연,미상.추정.,비고,돌대각목,역삼동,가락동,흔암리,송국리,검단리.천전리,미상.추정..1,비고.1,원형점토,미상.초기철기.,비고.2,삼각점토,미상.추정..2,비고.3,경질무문,미상.추정..3,비고.4,원삼국.삼국,미상.추정..4,비고.5,고구려,미상.추정..5,비고.6,통신이후,미상..추정.,비고.7,충청.신석기.홍도,청동기.충청.홍도
37.557,127.13,SNU10-960,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2980 ,60,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 1호 주거지 - 1구역 바닥면-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-961,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2750 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 1호 주거지 - 3구역 바닥면-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-962,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2900 ,50,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 1호 주거지 - 5구역 노지-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-963,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2810 ,50,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 1호 주거지 - 5구역 노지-2,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-964,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2830 ,50,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 2호 주거지 - 3구역 노출면 3cm하강-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-965,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,3070 ,250,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 2호 주거지 - 3구역 노출면 3cm하강-2,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-966,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2760 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 2호 주거지 - 3구역 노출면 5cm하강-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-967,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2930 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 2호 주거지 - 3구역 노출면 5cm하강-2,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-968,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2310 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 3호 주거지 - 바닥면-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-969,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2360 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 3호 주거지 - 3구역 바닥면-2,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-970,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2440 ,50,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 3호 주거지 - 바닥면-3,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-971,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2570 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 5호 주거지 - 노지주변 바닥면-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.557,127.13,SNU10-972,Charcoal (wood charcoal),목탄,National Center for Inter-University Research Facilities,서울대학교 기초과학공동기기원,,,2011-06-07,2580 ,40,Bronze,Seoul Godeok-dong,서울 고덕동,"The Godeok-dong Site, Seoul",서울 고덕동 유적,D구역 5호 주거지 - 바닥면-1,Dwelling,주거지,Kyung Hee University Museum,경희대학교 중앙박물관,2012,,,추정불가,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,
